"filename", "language", "TypeScript", "JSON with Comments", "JSON", "Markdown", "TypeScript JSX", "HTML", "PostCSS", "YAML", "Python", "pip requirements", "PowerShell", "MS SQL", "comment", "blank", "total"
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\core\video_synthesizer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 23, 23, 139
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\license\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\license\fingerprint.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 7, 12, 49
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\license\store.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 16, 27, 152
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\license\validator.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 10, 15, 109
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\storage\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\storage\database.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 9, 23, 98
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\storage\digital_humans_repo.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 5, 19, 123
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\storage\migrations\V001__initial_schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 2, 7, 83
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\storage\migrations\V002__seed_data.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 4, 4, 42
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\storage\settings_store.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 6, 14, 80
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\storage\voice_models_repo.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 2, 17, 94
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\storage\works_repo.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 133, 0, 0, 0, 46, 16, 195
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\utils\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\utils\dev_mode.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 8, 4, 19
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\utils\file_utils.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 7, 14, 74
"d:\Git.Project\local-aI-dubber-desktop\python-engine\src\utils\progress.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 4, 19, 105
"d:\Git.Project\local-aI-dubber-desktop\python-engine\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Git.Project\local-aI-dubber-desktop\python-engine\tests\integration\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Git.Project\local-aI-dubber-desktop\python-engine\tests\integration\test_digital_humans.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 12, 18, 74
"d:\Git.Project\local-aI-dubber-desktop\python-engine\tests\integration\test_license.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 14, 16, 71
"d:\Git.Project\local-aI-dubber-desktop\python-engine\tests\integration\test_pipeline_batch.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 10, 15, 73
