"filename", "language", "Python", "TypeScript", "JSON with Comments", "Markdown", "YAML", "pip requirements", "JSON", "Docker", "TypeScript JSX", "XML", "comment", "blank", "total"
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\hifigan\hifigan.py", "Python", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 68
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\llm\llm.py", "Python", 565, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 60, 706
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\tokenizer\tokenizer.py", "Python", 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25, 328
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\transformer\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\transformer\activation.py", "Python", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 12, 85
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\transformer\attention.py", "Python", 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 27, 331
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\transformer\convolution.py", "Python", 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 24, 259
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\transformer\decoder.py", "Python", 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 23, 397
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\transformer\decoder_layer.py", "Python", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 12, 133
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\transformer\embedding.py", "Python", 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 33, 303
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\transformer\encoder.py", "Python", 280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 170, 25, 475
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\transformer\encoder_layer.py", "Python", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 21, 237
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\transformer\label_smoothing_loss.py", "Python", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 6, 97
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\transformer\positionwise_feed_forward.py", "Python", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 10, 116
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\transformer\subsampling.py", "Python", 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 173, 35, 384
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\transformer\upsample_encoder.py", "Python", 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 22, 322
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\utils\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\cosyvoice\utils\class_utils.py", "Python", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 9, 86
