"filename", "language", "Python", "TypeScript", "JSON with Comments", "Markdown", "YAML", "pip requirements", "JSON", "Docker", "TypeScript JSX", "XML", "comment", "blank", "total"
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\Wav2Lip\models\conv.py", "Python", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\Wav2Lip\models\syncnet.py", "Python", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 67
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\Wav2Lip\models\wav2lip.py", "Python", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51, 185
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\Wav2Lip\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"d:\Git.Project\local-aI-dubber-desktop\renderer\src\pages\AvatarManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, -1, 7, 76
"d:\Git.Project\local-aI-dubber-desktop\renderer\src\pages\BatchCreation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 12, 134
"d:\Git.Project\local-aI-dubber-desktop\renderer\src\pages\Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"d:\Git.Project\local-aI-dubber-desktop\renderer\src\pages\SingleCreation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, -4, 5, 80
"d:\Git.Project\local-aI-dubber-desktop\renderer\src\pages\VoiceManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 10, 101
"d:\Git.Project\local-aI-dubber-desktop\renderer\src\stores\digitalHumans.ts", "TypeScript", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 86
"d:\Git.Project\local-aI-dubber-desktop\renderer\src\stores\voices.ts", "TypeScript", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 89
"d:\Git.Project\local-aI-dubber-desktop\renderer\tsconfig.json", "JSON with Comments", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Git.Project\local-aI-dubber-desktop\renderer\vite.config.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 15092, 151, 1, 679, 768, 105, 5476, 48, 380, 33271, 4027, 3047, 63045
